secID,ticker,exchangeCD,ListSectorCD,ListSector,transCurrCD,secShortName,secFullName,listStatusCD,listDate,delistDate,equTypeCD,equType,exCountryCD,partyID,totalShares,nonrestFloatShares,nonrestfloatA,officeAddr,primeOperating
"002670.XSHE","002670","XSHE",3,"中小板","CNY","华声股份","广东华声电器股份有限公司","L","2012-04-16",,"A","沪深A股","CHN",65604,200000000,82377332,82377332,"广东省佛山市顺德区容桂镇昌宝东路13号","从事家用电器配线组件的研发、生产及销售，产品主要包括空调连接组件和各种家用电器的电源输入组件。"
"002671.XSHE","002671","XSHE",3,"中小板","CNY","龙泉股份","山东龙泉管道工程股份有限公司","L","2012-04-26",,"A","沪深A股","CHN",65740,443695798,242241451,242241451,"山东省淄博市博山区西外环路333号","预应力钢筒混凝土管、预应力混凝土管、钢筋混凝土排水管制造、本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假记载、误导性陈述或重大遗漏。销售、安装；机械制造、加工、销售；货物进出口；水工金属结构产品制造、销售；商品混凝土生产、浇筑销售；球墨铸管及管件、塑料管材及管件、钢管及管件、高效隔热保温钢管及管件的加工、销售（依法须经批准的项目，经相关部门批准后方可开展经营活动）。"
"002672.XSHE","002672","XSHE",3,"中小板","CNY","东江环保","东江环保股份有限公司","L","2012-04-26",,"A","沪深A股","CHN",65467,347836800,208101300,128046300,"广东省深圳市南山区高新区北区朗山路9号东江环保大楼1楼、3楼、8楼北面、9-12楼","废物的处置及综合利用(执照另行申办）；废水、废气、噪声的治理；环境保护设施的设计、建设及运营；化工产品的销售（危险品取得经营许可证后方可经营）；环保材料、环保再生产品、环保设备的生产与购销（生产场所执照另行申办）环保新产品、新技术的开发、推广及应用；兴办实业（具体项目另行申报）；从事货物、技术进出口业务（不含分销、国家专营专控商品）；物业租赁。"
"002673.XSHE","002673","XSHE",3,"中小板","CNY","西部证券","西部证券股份有限公司","L","2012-05-03",,"A","沪深A股","CHN",26653,1397784810,687611200,687611200,"陕西省西安市东新街232号信托大厦16-17层","证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；证券资产管理；证券投资基金代销；为期货公司提供中间介绍业务(经营证券业务许可证有效期至2013年8月26日)；融资融券。（上述经营范围中涉及许可经营项目的，凭许可证明文件、证件在有效期内经营，未经许可不得经营）。"
"002674.XSHE","002674","XSHE",3,"中小板","CNY","兴业科技","兴业皮革科技股份有限公司","L","2012-05-07",,"A","沪深A股","CHN",65526,243135000,124364000,124364000,"福建省泉州市晋江市安海第二工业区","从事原皮、蓝湿皮新技术加工；从事皮革后整饰新技术加工，从事皮革新材料、新技术、新工艺研发；生产皮制品、鞋服及销售自产产品；从事货物和技术的进出口贸易（不含分销）。"
"002675.XSHE","002675","XSHE",3,"中小板","CNY","东诚药业","烟台东诚药业集团股份有限公司","L","2012-05-25",,"A","沪深A股","CHN",65615,172800000,118692000,118692000,"山东省烟台市经济技术开发区长白山路7号","原料药（肝素钠、肝素钙、硫酸软骨素钠、硫酸软骨素钠（供注射用）、依诺肝素钠、达肝素钠、盐酸氨基葡萄糖、卡络磺钠、多西他赛）的生产、加工和销售（药品生产许可证有效期至2015年12月31日）；硫酸软骨素、胶原蛋白、透明质酸、细胞色素C（冻干）、鲨鱼骨粉的生产、加工和销售（硫酸软骨素、鲨鱼骨粉、胶原蛋白仅限出口）（需取得许可生产经营的，取得许可证后方可生产经营）。"
"002676.XSHE","002676","XSHE",3,"中小板","CNY","顺威股份","广东顺威精密塑料股份有限公司","L","2012-05-25",,"A","沪深A股","CHN",65676,160000000,42752322,42752322,"广东省佛山市顺德区高新区(容桂)科苑一路6号","塑料空调风叶的生产和销售。"
"002677.XSHE","002677","XSHE",3,"中小板","CNY","浙江美大","浙江美大实业股份有限公司","L","2012-05-25",,"A","沪深A股","CHN",65674,200000000,50000000,50000000,"浙江省嘉兴市海宁市袁花镇谈桥81号(海宁市东西大道60KM)","集成灶产品的研发、生产和销售。"
"002678.XSHE","002678","XSHE",3,"中小板","CNY","珠江钢琴","广州珠江钢琴集团股份有限公司","L","2012-05-30",,"A","沪深A股","CHN",65944,956000000,152375625,152375625,"广东省广州市荔湾区花地大道南渔尾西路","公司集钢琴研发、生产、销售与服务为一体，倡导钢琴、数码钢琴和音乐文化教育共发展，主要从事恺撒堡、珠江、里特米勒、京珠等自主品牌钢琴的研发、生产、销售及服务，产品包含立式钢琴、三角钢琴两大系列共三百多种型号，涵盖高档、中档和普及型各系列钢琴。"
"002679.XSHE","002679","XSHE",3,"中小板","CNY","福建金森","福建金森林业股份有限公司","L","2012-06-05",,"A","沪深A股","CHN",66068,138680000,34680000,34680000,"福建省三明市将乐县水南三华南路48号12-15层","森林经营和管护；造林和更新；花卉及其他园艺植物的种植；对林业、农业项目的投资；木制品、竹制品、初级农产品销售；对外贸易；中草药种植；木材、竹材采运、加工、销售（有效期至2014年2月）。（以上经营范围涉及许可经营项目的，应在取得有关部门的许可后方可经营）。"
"002680.XSHE","002680","XSHE",3,"中小板","CNY","黄海机械","连云港黄海机械股份有限公司","L","2012-06-05",,"A","沪深A股","CHN",65972,80000000,23992319,23992319,"江苏省连云港市海州开发区新建东路1号","一般经营项目：建筑工程机械、钻探机械、钻机车、地质钻探工具、地质钻探仪器的生产，钻机液压橡胶软管组合件组装；产品包装装潢；普通机械租赁；金属材料、五金、交电、化工产品销售；自营和代理各类商品和技术的进出口业务，但国家限定企业经营或禁止进出口的商品和技术除外。"
